Địa điểm khởi hành,Địa điểm đến,Hãng hàng không,Số hiệu chuyến bay,Ngày khởi hành,Giờ khởi hành,Giờ đến,Thời gian bay,Giá,Hạng vé
Hồ Chí Minh (SGN),Phú Quốc (PQC),Pacific Airlines,VN8021,05/07/2024,18:50,20:00,01h 10m,"2,147,000 VND",
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietjet Air,VJ323,05/07/2024,07:30,08:30,01h 0m,"2,165,000 VND",Eco
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN1835,05/07/2024,17:10,18:10,01h 0m,"2,212,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7825,05/07/2024,20:30,21:30,01h 0m,"2,212,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7841,05/07/2024,00:20,01:20,01h 0m,"2,212,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7843,05/07/2024,00:50,01:50,01h 0m,"2,212,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7845,05/07/2024,01:00,02:00,01h 0m,"2,212,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Phú Quốc (PQC),Pacific Airlines,VN8021,05/07/2024,18:50,20:00,01h 10m,"2,212,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN1835,05/07/2024,17:10,18:10,01h 0m,"2,280,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7825,05/07/2024,20:30,21:30,01h 0m,"2,280,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7841,05/07/2024,00:20,01:20,01h 0m,"2,280,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7843,05/07/2024,00:50,01:50,01h 0m,"2,280,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7845,05/07/2024,01:00,02:00,01h 0m,"2,280,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Phú Quốc (PQC),Pacific Airlines,VN8021,05/07/2024,18:50,20:00,01h 10m,"2,280,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN1821,05/07/2024,06:05,07:05,01h 0m,"2,286,000 VND",Phổ thông linh hoạt
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN1823,05/07/2024,08:35,09:35,01h 0m,"2,286,000 VND",Phổ thông linh hoạt
